cell_id,case,policy,agents,dependency_probability,avoidance_probability,edit_length_lines,nominal_overlap_probability,nominal_mu,sync_interval,post_dispatch_wait,wait_in_characteristic_units,observation_horizon,baseline_read_time,repair_clock,base_repair_time,edits_per_agent_time,files,lines_per_file,initial_conflicts_n,initial_conflicts_mean,initial_conflicts_ci95_low,initial_conflicts_ci95_high,completed_attempts_n,completed_attempts_mean,completed_attempts_ci95_low,completed_attempts_ci95_high,failed_attempts_n,failed_attempts_mean,failed_attempts_ci95_low,failed_attempts_ci95_high,initial_conflicts_landed_mean,initial_conflicts_landed_fraction,completed_attempt_failure_fraction,nominal_exposure,nominal_failure_probability,ratio_ci95_low,ratio_ci95_high,ratio_interval_status
f787499fc07184e2,1,kick_back,4,0.0,0.0,4,0.003435063819150432,0.010305191457451296,0.5,194.07693765397008,2.0,3105.2310024635212,start,fixed,0.25,1.0,8,256,30,17.9,17.755939348660476,18.04406065133952,30,14.9,14.755939348660476,15.044060651339525,30,0,0.0,0.0,14.9,0.8324022346368716,0.0,0.25,0.0025729820571334544,,,not identified from marginal aggregates
32317f42642bca58,1,kick_back,4,0.0,0.0,4,0.003435063819150432,0.010305191457451296,0.5,388.15387530794015,4.0,3105.2310024635212,start,fixed,0.25,1.0,8,256,30,9.933333333333334,9.842545044386126,10.024121622280541,30,6.966666666666667,6.9013333333333335,7.032,30,0.03333333333333333,-0.031999999999999994,0.09866666666666665,6.933333333333334,0.697986577181208,0.004784688995215311,0.25,0.0025729820571334544,,,not identified from marginal aggregates
7ffbca498ce8f21a,1,kick_back,4,0.0,0.0,16,0.01556231814190527,0.04668695442571581,0.5,0.0,0.0,685.416309408565,dispatch,fixed,0.25,1.0,8,256,30,33.833333333333336,31.4446657716357,36.222000895030966,30,33.833333333333336,31.4446657716357,36.222000895030966,30,0,0.0,0.0,33.833333333333336,1.0,0.0,0.25,0.011603888099730056,,,not identified from marginal aggregates
10d3547ed2a37f76,1,kick_back,4,0.0,0.0,16,0.01556231814190527,0.04668695442571581,0.5,5.354814917254414,0.25,685.416309408565,dispatch,fixed,0.25,1.0,8,256,30,108.53333333333333,106.02800422088407,111.03866244578259,30,116.6,114.35913924583872,118.84086075416127,30,11.033333333333333,9.903744685457497,12.16292198120917,105.56666666666666,0.9726658476658476,0.09462550028587764,5.604814917254414,0.23023633406733784,,,not identified from marginal aggregates
fdae7268df4944dc,1,kick_back,4,0.0,0.0,16,0.01556231814190527,0.04668695442571581,0.5,10.709629834508828,0.5,685.416309408565,dispatch,fixed,0.25,1.0,8,256,30,51.46666666666667,49.71930795494404,53.214025378389294,30,59.86666666666667,58.77585701974208,60.95747631359126,30,11.4,10.198003805923367,12.601996194076634,48.46666666666667,0.9417098445595855,0.19042316258351893,10.959629834508828,0.40050745419172745,,,not identified from marginal aggregates
6b8c21b4615cc392,1,kick_back,4,0.0,0.0,16,0.01556231814190527,0.04668695442571581,0.5,21.419259669017656,1.0,685.416309408565,dispatch,fixed,0.25,1.0,8,256,30,23.3,22.274209987655716,24.325790012344285,30,30.033333333333335,29.4657120144192,30.60095465224747,30,9.766666666666667,8.837867796622044,10.695465536711291,20.266666666666666,0.8698140200286122,0.3251942286348502,21.669259669017656,0.6363893906981024,,,not identified from marginal aggregates
9d9e9e0c0aa33826,1,kick_back,4,0.0,0.0,16,0.01556231814190527,0.04668695442571581,0.5,42.83851933803531,2.0,685.416309408565,dispatch,fixed,0.25,1.0,8,256,30,9.4,8.686781360600968,10.113218639399033,30,14.733333333333333,14.48588616802959,14.980780498637076,30,8.333333333333334,7.640634242348409,9.02603242431826,6.399999999999999,0.6808510638297871,0.5656108597285069,43.08851933803531,0.8662351322460102,,,not identified from marginal aggregates
9e253da13fdcf05d,1,kick_back,4,0.0,0.0,16,0.01556231814190527,0.04668695442571581,0.5,85.67703867607062,4.0,685.416309408565,dispatch,fixed,0.25,1.0,8,256,30,4.5,4.104077100272369,4.895922899727631,30,6.933333333333334,6.842545044386126,7.024121622280541,30,5.433333333333334,5.0381546502406325,5.828512016426035,1.5,0.3333333333333333,0.7836538461538461,85.92703867607062,0.9818968937354058,,,not identified from marginal aggregates
8c43ef60ff809e72,1,kick_back,4,0.0,0.0,16,0.01556231814190527,0.04668695442571581,0.5,0.0,0.0,685.416309408565,start,fixed,0.25,1.0,8,256,30,33.833333333333336,31.4446657716357,36.222000895030966,30,33.833333333333336,31.4446657716357,36.222000895030966,30,0,0.0,0.0,33.833333333333336,1.0,0.0,0.25,0.011603888099730056,,,not identified from marginal aggregates
032c0619b8f3f009,1,kick_back,4,0.0,0.0,16,0.01556231814190527,0.04668695442571581,0.5,5.354814917254414,0.25,685.416309408565,start,fixed,0.25,1.0,8,256,30,118.96666666666667,116.73393256966973,121.1994007636636,30,116.6,114.35913924583872,118.84086075416127,30,0.6,0.30882970973838264,0.8911702902616173,116.0,0.975063042869151,0.005145797598627788,0.25,0.011603888099730056,,,not identified from marginal aggregates
