cell_id,case,policy,agents,dependency_probability,avoidance_probability,edit_length_lines,nominal_overlap_probability,nominal_mu,sync_interval,post_dispatch_wait,wait_in_characteristic_units,observation_horizon,baseline_read_time,repair_clock,base_repair_time,edits_per_agent_time,files,lines_per_file,mean_completed_repair_attempts,mean_failed_completed_repairs,pooled_failure_fraction_completed_repairs,fixed_clock_collision_exposure,first_order_failure_probability,mean_initial_conflicts,mean_dispatches,pooled_dispatches_per_initial_conflict,mean_unresolved_initial_conflicts_no_dependency,pooled_unresolved_initial_conflict_fraction_no_dependency,seed_mean_over_five_unresolved_fraction,window_divided_by_minimum_attempt_slot,maximum_completed_attempts_per_window,maximum_dispatches_per_window_no_dependency,unobserved_tail_mean_upper_bound
b7694b73f3523093,0,kick_back,2,0.0,0.0,64,0.06872332143144783,0.06872332143144783,0.5,14.551101127984765,1.0,465.6352360955125,dispatch,fixed,0.25,1.0,8,256,29.366666666666667,18.433333333333334,0.6276958002270148,14.801101127984765,0.6383870472175951,12.0,30.366666666666667,2.5305555555555554,1.0666666666666664,0.08888888888888886,0.0030303030303030303,31.459499672975397,31,32,not_identifiable_without_future_process_assumptions
75605433b52537b5,0,kick_back,2,0.0,0.0,64,0.06872332143144783,0.06872332143144783,0.5,29.10220225596953,2.0,465.6352360955125,dispatch,fixed,0.25,1.0,8,256,14.5,12.466666666666667,0.8597701149425288,29.35220225596953,0.8669700290100537,3.066666666666667,15.5,5.054347826086956,1.0333333333333337,0.33695652173913054,0.21388888888888888,15.863724024346878,15,16,not_identifiable_without_future_process_assumptions
ff50f694d9bdc4a4,0,kick_back,2,0.0,0.0,64,0.06872332143144783,0.06872332143144783,0.5,58.20440451193906,4.0,465.6352360955125,dispatch,fixed,0.25,1.0,8,256,6.866666666666666,6.7,0.975728155339806,58.45440451193906,0.9819963511971173,1.1666666666666667,7.866666666666666,6.742857142857142,1.0000000000000007,0.8571428571428577,0.85,7.965785298529703,7,8,not_identifiable_without_future_process_assumptions
2de593103b175773,0,kick_back,2,0.0,0.0,64,0.06872332143144783,0.06872332143144783,0.5,0.0,0.0,465.6352360955125,dispatch,context,0.25,1.0,8,256,16.433333333333334,0.03333333333333333,0.002028397565922921,,,16.433333333333334,16.466666666666665,1.0020283975659228,0.03333333333333499,0.002028397565923022,0.0,1862.54094438205,1862,,not_identifiable_without_future_process_assumptions
87040ac96ce4daf9,0,kick_back,2,0.0,0.0,64,0.06872332143144783,0.06872332143144783,0.5,3.6377752819961913,0.25,465.6352360955125,dispatch,context,0.25,1.0,8,256,75.63333333333334,23.3,0.30806522697223443,,,53.333333333333336,76.63333333333334,1.4368750000000001,0.9999999999999929,0.018749999999999867,0.0,119.76907159521589,119,,not_identifiable_without_future_process_assumptions
d3dfa838634c7fd9,0,kick_back,2,0.0,0.0,64,0.06872332143144783,0.06872332143144783,0.5,7.2755505639923825,0.5,465.6352360955125,dispatch,context,0.25,1.0,8,256,48.06666666666667,22.033333333333335,0.45839112343966715,,,27.033333333333335,49.06666666666667,1.8150431565967942,1.0,0.03699136868064118,0.0,61.87390970747636,61,,not_identifiable_without_future_process_assumptions
3148df38ea1824eb,0,kick_back,2,0.0,0.0,64,0.06872332143144783,0.06872332143144783,0.5,14.551101127984765,1.0,465.6352360955125,dispatch,context,0.25,1.0,8,256,27.2,17.9,0.6580882352941176,,,10.366666666666667,28.2,2.720257234726688,1.0666666666666664,0.10289389067524113,0.014604377104377104,31.459499672975397,31,,not_identifiable_without_future_process_assumptions
9790272b43e888c7,0,kick_back,2,0.0,0.0,64,0.06872332143144783,0.06872332143144783,0.5,29.10220225596953,2.0,465.6352360955125,dispatch,context,0.25,1.0,8,256,14.166666666666666,12.2,0.8611764705882353,,,3.0,15.166666666666666,5.055555555555555,1.0333333333333332,0.3444444444444444,0.37777777777777777,15.863724024346878,15,,not_identifiable_without_future_process_assumptions
ce75450ecc325a3c,0,kick_back,2,0.0,0.0,64,0.06872332143144783,0.06872332143144783,0.5,58.20440451193906,4.0,465.6352360955125,dispatch,context,0.25,1.0,8,256,6.8,6.6,0.9705882352941176,,,1.2,7.8,6.5,0.9999999999999998,0.8333333333333331,0.85,7.965785298529703,7,,not_identifiable_without_future_process_assumptions
fe4b210ca9501577,0,kick_back,2,0.0,0.0,64,0.06872332143144783,0.06872332143144783,0.5,0.0,0.0,465.6352360955125,start,fixed,0.25,1.0,8,256,16.0,0.0,0.0,0.25,0.017034081516169853,16.033333333333335,16.033333333333335,1.0,0.03333333333333499,0.0020790020790021823,0.0,1862.54094438205,1862,1863,not_identifiable_without_future_process_assumptions
