cell_id,case,policy,agents,dependency_probability,avoidance_probability,edit_length_lines,nominal_overlap_probability,nominal_mu,sync_interval,post_dispatch_wait,wait_in_characteristic_units,observation_horizon,baseline_read_time,repair_clock,base_repair_time,edits_per_agent_time,files,lines_per_file,pooled_dispatches_per_initial_conflict,dispatches_n,dispatches_mean,dispatches_ci95_low,dispatches_ci95_high,initial_conflicts_n,initial_conflicts_mean,initial_conflicts_ci95_low,initial_conflicts_ci95_high,ratio_ci95_low,ratio_ci95_high,ratio_interval_status
75b22aca532a1c3f,0,kick_back,2,0.0,0.0,4,0.003435063819150432,0.003435063819150432,0.5,582.2308129619101,2.0,9315.693007390562,dispatch,context,0.25,1.0,8,256,5.654320987654321,30,15.266666666666667,14.92870559520465,15.604627738128684,30,2.7,2.201401873294712,3.1985981267052885,,,not_identifiable_from_aggregate_inputs
6c04158a9ed67cc4,0,kick_back,2,0.0,0.0,4,0.003435063819150432,0.003435063819150432,0.5,1164.4616259238203,4.0,9315.693007390562,dispatch,context,0.25,1.0,8,256,7.3125,30,7.8,7.6544148548691915,7.945585145130808,30,1.0666666666666667,0.9359999999999999,1.1973333333333334,,,not_identifiable_from_aggregate_inputs
ec6cf256683f1dc0,0,kick_back,2,0.0,0.0,4,0.003435063819150432,0.003435063819150432,0.5,0.0,0.0,9315.693007390562,start,fixed,0.25,1.0,8,256,1.0,30,16.366666666666667,14.76775958783335,17.965573745499984,30,16.366666666666667,14.76775958783335,17.965573745499984,,,not_identifiable_from_aggregate_inputs
4ce7f81da14c783a,0,kick_back,2,0.0,0.0,4,0.003435063819150432,0.003435063819150432,0.5,72.77885162023877,0.25,9315.693007390562,start,fixed,0.25,1.0,8,256,1.000277238702523,30,120.26666666666667,117.73294599452373,122.8003873388096,30,120.23333333333333,117.69134809533695,122.77531857132972,,,not_identifiable_from_aggregate_inputs
33ce2c0516c40511,0,kick_back,2,0.0,0.0,4,0.003435063819150432,0.003435063819150432,0.5,145.55770324047754,0.5,9315.693007390562,start,fixed,0.25,1.0,8,256,1.0005509641873278,30,60.53333333333333,59.266472997261864,61.8001936694048,30,60.5,59.2330815737189,61.7669184262811,,,not_identifiable_from_aggregate_inputs
82a007ef801a8367,0,kick_back,2,0.0,0.0,4,0.003435063819150432,0.003435063819150432,0.5,291.1154064809551,1.0,9315.693007390562,start,fixed,0.25,1.0,8,256,1.0021905805038336,30,30.5,29.871351385542155,31.128648614457845,30,30.433333333333334,29.798162809875475,31.068503856791192,,,not_identifiable_from_aggregate_inputs
a07514f0bdfae64e,0,kick_back,2,0.0,0.0,4,0.003435063819150432,0.003435063819150432,0.5,582.2308129619101,2.0,9315.693007390562,start,fixed,0.25,1.0,8,256,0.9956896551724138,30,15.4,15.094040194962066,15.705959805037935,30,15.466666666666667,15.144765799034447,15.788567534298886,,,not_identifiable_from_aggregate_inputs
11fddae346b73e8a,0,kick_back,2,0.0,0.0,4,0.003435063819150432,0.003435063819150432,0.5,1164.4616259238203,4.0,9315.693007390562,start,fixed,0.25,1.0,8,256,1.0,30,7.833333333333333,7.697692382905558,7.968974283761108,30,7.833333333333333,7.697692382905558,7.968974283761108,,,not_identifiable_from_aggregate_inputs
572292e49a831913,0,kick_back,2,0.0,0.0,4,0.003435063819150432,0.003435063819150432,0.5,0.0,0.0,9315.693007390562,start,context,0.25,1.0,8,256,1.0,30,16.366666666666667,14.76775958783335,17.965573745499984,30,16.366666666666667,14.76775958783335,17.965573745499984,,,not_identifiable_from_aggregate_inputs
e1645838a2eaca3e,0,kick_back,2,0.0,0.0,4,0.003435063819150432,0.003435063819150432,0.5,72.77885162023877,0.25,9315.693007390562,start,context,0.25,1.0,8,256,1.1516494337764647,30,77.96666666666667,76.54928688130965,79.38404645202368,30,67.7,66.66991436579617,68.73008563420383,,,not_identifiable_from_aggregate_inputs
