suite,cell_id,metric,runs_seen,runs_failed,n,mean,ci95_low,ci95_high,case,policy,agents,dependency_probability,avoidance_probability,edit_length_lines,nominal_overlap_probability,nominal_mu,sync_interval,post_dispatch_wait,wait_in_characteristic_units,observation_horizon,baseline_read_time,repair_clock,base_repair_time,edits_per_agent_time,files,lines_per_file
sync_interval,6bb14b2d00c4760a,author_repair_starts,30,0,30,0.13333333333333333,0.009609750681461526,0.25705691598520514,0,clean_first,2,0.0,0.0,4,0.003435063819150432,0.003435063819150432,0.25,0.0,,256.0,start,fixed,0.25,1.0,8,256
sync_interval,6bb14b2d00c4760a,automatic_passes,30,0,30,1024.2666666666667,1024.0192195013628,1024.5141138319705,0,clean_first,2,0.0,0.0,4,0.003435063819150432,0.003435063819150432,0.25,0.0,,256.0,start,fixed,0.25,1.0,8,256
sync_interval,6bb14b2d00c4760a,avoided_proposals,30,0,30,0,0.0,0.0,0,clean_first,2,0.0,0.0,4,0.003435063819150432,0.003435063819150432,0.25,0.0,,256.0,start,fixed,0.25,1.0,8,256
sync_interval,6bb14b2d00c4760a,concurrent_overlap_pairs,30,0,30,0.13333333333333333,0.009609750681461526,0.25705691598520514,0,clean_first,2,0.0,0.0,4,0.003435063819150432,0.003435063819150432,0.25,0.0,,256.0,start,fixed,0.25,1.0,8,256
sync_interval,6bb14b2d00c4760a,conflict_cohort_n,30,0,30,0.13333333333333333,0.009609750681461526,0.25705691598520514,0,clean_first,2,0.0,0.0,4,0.003435063819150432,0.003435063819150432,0.25,0.0,,256.0,start,fixed,0.25,1.0,8,256
sync_interval,6bb14b2d00c4760a,dependency_rescues_without_repair,30,0,30,0,0.0,0.0,0,clean_first,2,0.0,0.0,4,0.003435063819150432,0.003435063819150432,0.25,0.0,,256.0,start,fixed,0.25,1.0,8,256
sync_interval,6bb14b2d00c4760a,dispatches,30,0,30,0.13333333333333333,0.009609750681461526,0.25705691598520514,0,clean_first,2,0.0,0.0,4,0.003435063819150432,0.003435063819150432,0.25,0.0,,256.0,start,fixed,0.25,1.0,8,256
sync_interval,6bb14b2d00c4760a,early_conflict_cohort_n,30,0,30,0.06666666666666667,-0.024121622280541086,0.1574549556138744,0,clean_first,2,0.0,0.0,4,0.003435063819150432,0.003435063819150432,0.25,0.0,,256.0,start,fixed,0.25,1.0,8,256
sync_interval,6bb14b2d00c4760a,early_unresolved_over_threshold_fraction,30,0,2,0.0,0.0,0.0,0,clean_first,2,0.0,0.0,4,0.003435063819150432,0.003435063819150432,0.25,0.0,,256.0,start,fixed,0.25,1.0,8,256
sync_interval,6bb14b2d00c4760a,failed_applications,30,0,30,0.26666666666666666,0.019219501362923053,0.5141138319704103,0,clean_first,2,0.0,0.0,4,0.003435063819150432,0.003435063819150432,0.25,0.0,,256.0,start,fixed,0.25,1.0,8,256
