suite,clean_first_cell,in_place_cell,metric,n,mean,ci95_low,ci95_high
sync_interval,8f25d37dded926b7,98b341c29d8b515e,landed_edits,30,0,0.0,0.0
sync_interval,8f25d37dded926b7,98b341c29d8b515e,unresolved_edits,30,0,0.0,0.0
sync_interval,8f25d37dded926b7,98b341c29d8b515e,failed_edits,30,0,0.0,0.0
sync_interval,8f25d37dded926b7,98b341c29d8b515e,concurrent_overlap_pairs,30,0,0.0,0.0
sync_interval,8f25d37dded926b7,98b341c29d8b515e,overlap_pairs_per_time,30,0.0,0.0,0.0
sync_interval,8f25d37dded926b7,98b341c29d8b515e,overlap_pairs_per_generated_edit,30,0.0,0.0,0.0
sync_interval,8f25d37dded926b7,98b341c29d8b515e,first_failures_per_time,30,0.0,0.0,0.0
sync_interval,8f25d37dded926b7,98b341c29d8b515e,first_failures_per_generated_edit,30,0.0,0.0,0.0
sync_interval,8f25d37dded926b7,98b341c29d8b515e,first_failures_per_sync_call,30,0.0,0.0,0.0
sync_interval,8f25d37dded926b7,98b341c29d8b515e,overlap_pairs_per_scheduled_interval,30,0.0,0.0,0.0
sync_interval,8f25d37dded926b7,98b341c29d8b515e,application_attempts,30,1.5,1.0139585183967519,1.9860414816032481
sync_interval,8f25d37dded926b7,98b341c29d8b515e,failed_applications,30,1.5,1.0139585183967519,1.9860414816032481
sync_interval,8f25d37dded926b7,98b341c29d8b515e,author_repair_starts,30,0,0.0,0.0
sync_interval,8f25d37dded926b7,98b341c29d8b515e,author_repair_completions,30,0,0.0,0.0
sync_interval,8f25d37dded926b7,98b341c29d8b515e,failed_repair_completions,30,0,0.0,0.0
sync_interval,8f25d37dded926b7,98b341c29d8b515e,dispatches,30,0,0.0,0.0
sync_interval,8f25d37dded926b7,98b341c29d8b515e,dependency_rescues_without_repair,30,0,0.0,0.0
sync_interval,8f25d37dded926b7,98b341c29d8b515e,avoided_proposals,30,0,0.0,0.0
sync_interval,8f25d37dded926b7,98b341c29d8b515e,sync_requests,30,0,0.0,0.0
sync_interval,8f25d37dded926b7,98b341c29d8b515e,sync_calls,30,0,0.0,0.0
sync_interval,8f25d37dded926b7,98b341c29d8b515e,automatic_passes,30,3,2.0279170367935038,3.9720829632064962
sync_interval,8f25d37dded926b7,98b341c29d8b515e,observed_repair_busy_time,30,0.0,0.0,0.0
sync_interval,8f25d37dded926b7,98b341c29d8b515e,observed_repair_effort,30,0.0,0.0,0.0
sync_interval,8f25d37dded926b7,98b341c29d8b515e,repair_effort_per_generated_edit,30,0.0,0.0,0.0
sync_interval,8f25d37dded926b7,98b341c29d8b515e,unresolved_fraction,30,0.0,0.0,0.0
sync_interval,8f25d37dded926b7,98b341c29d8b515e,conflict_cohort_n,30,0,0.0,0.0
sync_interval,8f25d37dded926b7,98b341c29d8b515e,unresolved_over_threshold_n,30,0,0.0,0.0
sync_interval,8f25d37dded926b7,98b341c29d8b515e,early_conflict_cohort_n,30,0,0.0,0.0
sync_interval,8f25d37dded926b7,98b341c29d8b515e,mean_observed_latency,30,-0.001720921133838967,-0.0030095637206691336,-0.0004322785470088006
sync_interval,8f25d37dded926b7,98b341c29d8b515e,mean_first_failure_overlap_lines,21,0.0,0.0,0.0
sync_interval,8f25d37dded926b7,98b341c29d8b515e,mean_first_failure_context_count,21,0.0,0.0,0.0
sync_interval,8f25d37dded926b7,98b341c29d8b515e,repair_failure_fraction,21,0.0,0.0,0.0
sync_interval,8f25d37dded926b7,98b341c29d8b515e,unresolved_over_threshold_fraction,21,0.0,0.0,0.0
sync_interval,8f25d37dded926b7,98b341c29d8b515e,early_unresolved_over_threshold_fraction,16,0.0,0.0,0.0
sync_interval,114cb57ca0083a90,7f61acd8a40b3ce0,generated_edits,30,0,0.0,0.0
sync_interval,114cb57ca0083a90,7f61acd8a40b3ce0,landed_edits,30,0,0.0,0.0
sync_interval,114cb57ca0083a90,7f61acd8a40b3ce0,unresolved_edits,30,0,0.0,0.0
sync_interval,114cb57ca0083a90,7f61acd8a40b3ce0,failed_edits,30,-0.6,-1.1447297336832465,-0.05527026631675347
sync_interval,114cb57ca0083a90,7f61acd8a40b3ce0,concurrent_overlap_pairs,30,-0.6,-1.1447297336832465,-0.05527026631675347
sync_interval,114cb57ca0083a90,7f61acd8a40b3ce0,overlap_pairs_per_time,30,-0.00234375,-0.004471600522200182,-0.00021589947779981824
sync_interval,114cb57ca0083a90,7f61acd8a40b3ce0,overlap_pairs_per_generated_edit,30,-0.0011530869279055723,-0.0021825125532730664,-0.0001236613025380783
sync_interval,114cb57ca0083a90,7f61acd8a40b3ce0,first_failures_per_time,30,-0.00234375,-0.004471600522200182,-0.00021589947779981824
sync_interval,114cb57ca0083a90,7f61acd8a40b3ce0,first_failures_per_generated_edit,30,-0.0011530869279055723,-0.0021825125532730664,-0.0001236613025380783
sync_interval,114cb57ca0083a90,7f61acd8a40b3ce0,first_failures_per_sync_call,30,-0.011523420403804422,-0.021205978150692348,-0.0018408626569164938
sync_interval,114cb57ca0083a90,7f61acd8a40b3ce0,overlap_pairs_per_scheduled_interval,30,-0.01875,-0.03577280417760145,-0.001727195822398546
sync_interval,114cb57ca0083a90,7f61acd8a40b3ce0,mean_first_failure_overlap_lines,30,-0.007745125245125243,-0.03601549212337175,0.02052524163312127
sync_interval,114cb57ca0083a90,7f61acd8a40b3ce0,mean_first_failure_context_count,30,-0.8079516779516779,-1.5142741164856934,-0.10162923941766222
sync_interval,114cb57ca0083a90,7f61acd8a40b3ce0,application_attempts,30,5.6,4.563717342070014,6.636282657929986
sync_interval,114cb57ca0083a90,7f61acd8a40b3ce0,failed_applications,30,5.6,4.563717342070014,6.636282657929986
sync_interval,114cb57ca0083a90,7f61acd8a40b3ce0,author_repair_starts,30,-0.6,-1.1447297336832465,-0.05527026631675347
sync_interval,114cb57ca0083a90,7f61acd8a40b3ce0,author_repair_completions,30,-0.6,-1.1447297336832465,-0.05527026631675347
sync_interval,114cb57ca0083a90,7f61acd8a40b3ce0,failed_repair_completions,30,0,0.0,0.0
sync_interval,114cb57ca0083a90,7f61acd8a40b3ce0,repair_failure_fraction,30,0.0,0.0,0.0
sync_interval,114cb57ca0083a90,7f61acd8a40b3ce0,dispatches,30,-0.6,-1.1447297336832465,-0.05527026631675347
sync_interval,114cb57ca0083a90,7f61acd8a40b3ce0,dependency_rescues_without_repair,30,0,0.0,0.0
sync_interval,114cb57ca0083a90,7f61acd8a40b3ce0,avoided_proposals,30,0,0.0,0.0
sync_interval,114cb57ca0083a90,7f61acd8a40b3ce0,sync_requests,30,0,0.0,0.0
sync_interval,114cb57ca0083a90,7f61acd8a40b3ce0,sync_calls,30,-0.6,-1.1447297336832465,-0.05527026631675347
sync_interval,114cb57ca0083a90,7f61acd8a40b3ce0,automatic_passes,30,12.366666666666667,10.414605349245214,14.31872798408812
sync_interval,114cb57ca0083a90,7f61acd8a40b3ce0,observed_repair_busy_time,30,-0.15,-0.2861824334208116,-0.013817566579188367
sync_interval,114cb57ca0083a90,7f61acd8a40b3ce0,observed_repair_effort,30,-1.6450000000000002,-3.207247082905255,-0.08275291709474564
sync_interval,114cb57ca0083a90,7f61acd8a40b3ce0,repair_effort_per_generated_edit,30,-0.0031588115109965277,-0.006105569262022205,-0.00021205375997085038
sync_interval,114cb57ca0083a90,7f61acd8a40b3ce0,unresolved_fraction,30,0.0,0.0,0.0
sync_interval,114cb57ca0083a90,7f61acd8a40b3ce0,conflict_cohort_n,30,-0.6,-1.1447297336832465,-0.05527026631675347
sync_interval,114cb57ca0083a90,7f61acd8a40b3ce0,unresolved_over_threshold_n,30,0,0.0,0.0
sync_interval,114cb57ca0083a90,7f61acd8a40b3ce0,unresolved_over_threshold_fraction,30,0.0,0.0,0.0
sync_interval,114cb57ca0083a90,7f61acd8a40b3ce0,early_conflict_cohort_n,30,-0.26666666666666666,-0.47539512874413714,-0.05793820458919616
sync_interval,114cb57ca0083a90,7f61acd8a40b3ce0,early_unresolved_over_threshold_fraction,29,0.0,0.0,0.0
sync_interval,114cb57ca0083a90,7f61acd8a40b3ce0,mean_observed_latency,30,-0.04678912753756747,-0.06103772720825435,-0.03254052786688059
sync_interval,9209a92dfae138d0,efbbac50b9320180,generated_edits,30,0,0.0,0.0
sync_interval,9209a92dfae138d0,efbbac50b9320180,landed_edits,30,34.86666666666667,31.04392059546285,38.689412737870484
sync_interval,9209a92dfae138d0,efbbac50b9320180,unresolved_edits,30,-34.86666666666667,-38.689412737870484,-31.04392059546285
sync_interval,9209a92dfae138d0,efbbac50b9320180,failed_edits,30,-80.46666666666667,-92.85414803502162,-68.07918529831171
sync_interval,9209a92dfae138d0,efbbac50b9320180,concurrent_overlap_pairs,30,-139.8,-160.49183559575707,-119.10816440424296
sync_interval,9209a92dfae138d0,efbbac50b9320180,overlap_pairs_per_time,30,-0.54609375,-0.626921232795926,-0.46526626720407405
sync_interval,9209a92dfae138d0,efbbac50b9320180,overlap_pairs_per_generated_edit,30,-0.27140380157253097,-0.31053660902449276,-0.23227099412056917
sync_interval,9209a92dfae138d0,efbbac50b9320180,first_failures_per_time,30,-0.3143229166666667,-0.3627115157618032,-0.26593431757153013
sync_interval,9209a92dfae138d0,efbbac50b9320180,first_failures_per_generated_edit,30,-0.1562295952459116,-0.17966519523993404,-0.13279399525188915
sync_interval,9209a92dfae138d0,efbbac50b9320180,first_failures_per_sync_call,30,-0.16112775662840273,-0.17761553215118248,-0.14463998110562298
sync_interval,9209a92dfae138d0,efbbac50b9320180,overlap_pairs_per_scheduled_interval,30,-17.475,-20.061479449469633,-14.88852055053037
sync_interval,9209a92dfae138d0,efbbac50b9320180,mean_first_failure_overlap_lines,30,-0.15654844964558945,-0.2234641090427777,-0.08963279024840122
sync_interval,9209a92dfae138d0,efbbac50b9320180,mean_first_failure_context_count,30,-84.15314114407495,-96.27295694100742,-72.03332534714248
sync_interval,9209a92dfae138d0,efbbac50b9320180,application_attempts,30,-23.166666666666668,-35.91509771129395,-10.41823562203938
sync_interval,9209a92dfae138d0,efbbac50b9320180,failed_applications,30,-58.03333333333333,-69.91603181293333,-46.15063485373334
sync_interval,9209a92dfae138d0,efbbac50b9320180,author_repair_starts,30,-80.46666666666667,-92.85414803502162,-68.07918529831171
sync_interval,9209a92dfae138d0,efbbac50b9320180,author_repair_completions,30,-80.4,-92.80061586902177,-67.99938413097824
sync_interval,9209a92dfae138d0,efbbac50b9320180,failed_repair_completions,30,0,0.0,0.0
sync_interval,9209a92dfae138d0,efbbac50b9320180,repair_failure_fraction,30,0.0,0.0,0.0
sync_interval,9209a92dfae138d0,efbbac50b9320180,dispatches,30,-80.46666666666667,-92.85414803502162,-68.07918529831171
sync_interval,9209a92dfae138d0,efbbac50b9320180,dependency_rescues_without_repair,30,0,0.0,0.0
sync_interval,9209a92dfae138d0,efbbac50b9320180,avoided_proposals,30,0,0.0,0.0
sync_interval,9209a92dfae138d0,efbbac50b9320180,sync_requests,30,0,0.0,0.0
sync_interval,9209a92dfae138d0,efbbac50b9320180,sync_calls,30,-80.4,-92.80061586902177,-67.99938413097824
sync_interval,9209a92dfae138d0,efbbac50b9320180,automatic_passes,30,45.9,41.74449608571846,50.05550391428154
sync_interval,9209a92dfae138d0,efbbac50b9320180,observed_repair_busy_time,30,-20.1,-23.200153967255442,-16.99984603274456
sync_interval,9209a92dfae138d0,efbbac50b9320180,observed_repair_effort,30,-756.1250000000002,-903.0295561213211,-609.2204438786794
sync_interval,9209a92dfae138d0,efbbac50b9320180,repair_effort_per_generated_edit,30,-1.4641030642271515,-1.7428813438746085,-1.1853247845796946
sync_interval,9209a92dfae138d0,efbbac50b9320180,unresolved_fraction,30,-0.06837767233426914,-0.07615954409809451,-0.06059580057044377
sync_interval,9209a92dfae138d0,efbbac50b9320180,conflict_cohort_n,30,-80.46666666666667,-92.85414803502162,-68.07918529831171
